taxon,common_names
Galago senegalensis,"[{'taxonname': 'Northern Lesser Galago', 'primary': True, 'language': 'eng'}, {'taxonname': 'Senegal Lesser Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Senegal Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lesser Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lesser Bushbaby', 'primary': False, 'language': 'eng'}, {'taxonname': 'Galago du Sénégal', 'primary': False, 'language': 'fre'}, {'taxonname': 'Gálago de Senegal', 'primary': False, 'language': 'spa'}]"
Galago zanzibaricus,[]
Otolemur crassicaudatus,"[{'taxonname': ""Garnett's Greater Galago"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Thick-tailed Greater Galago', 'primary': True, 'language': 'eng'}, {'taxonname': 'Greater Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Greater Bushbaby', 'primary': False, 'language': 'eng'}, {'taxonname': 'Large-eared Greater Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Thick-tailed Bushbaby', 'primary': False, 'language': 'eng'}, {'taxonname': 'Grand Galago', 'primary': False, 'language': 'fre'}, {'taxonname': 'Galago à queue touffue', 'primary': False, 'language': 'fre'}, {'taxonname': 'Gálago de Cola Gruesa', 'primary': False, 'language': 'spa'}]"
Otolemur garnettii,"[{'taxonname': 'Small-eared Galago', 'primary': False, 'language': 'eng'}, {'taxonname': ""Garnett's Greater Galago"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Small-eared Greater Galago', 'primary': False, 'language': 'eng'}, {'taxonname': 'Garnett’s Bushbaby', 'primary': False, 'language': 'eng'}, {'taxonname': 'Galago de Garnett', 'primary': False, 'language': 'fre'}]"
Otolemur monteiri,[]
Homo sapiens,[]
Pan troglodytes,"[{'taxonname': 'Chimpanzee', 'primary': True, 'language': 'eng'}, {'taxonname': 'Common Chimpanzee', 'primary': False, 'language': 'eng'}, {'taxonname': 'Robust Chimpanzee', 'primary': False, 'language': 'eng'}, {'taxonname': 'Chimpanzé', 'primary': False, 'language': 'fre'}, {'taxonname': 'Chimpancé', 'primary': False, 'language': 'spa'}]"
Lepus capensis,"[{'taxonname': 'Cape Hare', 'primary': True, 'language': 'eng'}, {'taxonname': 'Arabian Hare', 'primary': False, 'language': 'eng'}, {'taxonname': 'Brown Hare', 'primary': False, 'language': 'eng'}, {'taxonname': 'Desert Hare', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lievre Du Cap', 'primary': False, 'language': 'fre'}, {'taxonname': 'Liebre Del Cabo', 'primary': False, 'language': 'spa'}]"
Lepus microtis,[]
Pronolagus rupestris,"[{'taxonname': ""Smith's Red Rock Hare"", 'primary': True, 'language': 'eng'}, {'taxonname': ""Smith's Red Rockhare"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Smith's Red Rabbit"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Lièvre Roux de Smith', 'primary': False, 'language': 'fre'}]"
