taxon,common_names
Sylvicapra grimmia,"[{'taxonname': 'Common Duiker', 'primary': True, 'language': 'eng'}, {'taxonname': 'Grey Duiker', 'primary': False, 'language': 'eng'}, {'taxonname': 'Bush Duiker', 'primary': False, 'language': 'eng'}, {'taxonname': 'Céphalophe de Grimm', 'primary': False, 'language': 'fre'}, {'taxonname': 'Céphalophe du Cap', 'primary': False, 'language': 'fre'}]"
Syncerus caffer,"[{'taxonname': 'African Buffalo', 'primary': True, 'language': 'eng'}, {'taxonname': ""Buffle d'Afrique"", 'primary': False, 'language': 'fre'}]"
Taurotragus oryx,[]
Tragelaphus imberbis,"[{'taxonname': 'Lesser Kudu', 'primary': True, 'language': 'eng'}, {'taxonname': 'Petit koudou', 'primary': False, 'language': 'fre'}]"
Tragelaphus scriptus,"[{'taxonname': 'Bushbuck', 'primary': True, 'language': 'eng'}, {'taxonname': 'Guib Harnaché', 'primary': False, 'language': 'fre'}]"
Tragelaphus spekii,"[{'taxonname': 'Sitatunga', 'primary': True, 'language': 'eng'}, {'taxonname': 'Marshbuck', 'primary': False, 'language': 'eng'}, {'taxonname': ""Guib d'Eau"", 'primary': False, 'language': 'fre'}, {'taxonname': 'Sitatunga', 'primary': False, 'language': 'fre'}]"
Tragelaphus strepsiceros,"[{'taxonname': 'Greater Kudu', 'primary': True, 'language': 'eng'}, {'taxonname': 'Grand Koudou', 'primary': False, 'language': 'fre'}]"
Giraffa camelopardalis,"[{'taxonname': 'Giraffe', 'primary': True, 'language': 'eng'}, {'taxonname': 'Girafe', 'primary': False, 'language': 'fre'}, {'taxonname': 'Jirafa', 'primary': False, 'language': 'spa'}]"
Hippopotamus amphibius,"[{'taxonname': 'Hippopotamus', 'primary': True, 'language': 'eng'}, {'taxonname': 'Large Hippo', 'primary': False, 'language': 'eng'}, {'taxonname': 'Common Hippopotamus', 'primary': False, 'language': 'eng'}, {'taxonname': 'Hippopotame', 'primary': False, 'language': 'fre'}, {'taxonname': 'Hipopótamo Anfibio', 'primary': False, 'language': 'spa'}]"
Hylochoerus meinertzhageni,"[{'taxonname': 'Forest Hog', 'primary': True, 'language': 'eng'}, {'taxonname': 'Giant Forest Hog', 'primary': False, 'language': 'eng'}, {'taxonname': 'Hylochère', 'primary': False, 'language': 'fre'}, {'taxonname': 'Hiloquero', 'primary': False, 'language': 'spa'}]"
Phacochoerus africanus,"[{'taxonname': 'Common Warthog', 'primary': True, 'language': 'eng'}, {'taxonname': 'Eritrean Warthog', 'primary': False, 'language': 'eng'}, {'taxonname': 'Warthog', 'primary': False, 'language': 'eng'}, {'taxonname': 'Phacochère Commun', 'primary': False, 'language': 'fre'}]"
Potamochoerus larvatus,"[{'taxonname': 'Bushpig', 'primary': True, 'language': 'eng'}, {'taxonname': 'Potamochère', 'primary': False, 'language': 'fre'}, {'taxonname': 'Potamochère du Cap', 'primary': False, 'language': 'fre'}]"
Sus scrofa,"[{'taxonname': 'Wild Boar', 'primary': True, 'language': 'eng'}, {'taxonname': 'Eurasian Wild Pig', 'primary': False, 'language': 'eng'}, {'taxonname': 'Ryukyu Islands Wild Pig', 'primary': False, 'language': 'eng'}, {'taxonname': 'Sanglier', 'primary': False, 'language': 'fre'}, {'taxonname': ""Sanglier d'Eurasie"", 'primary': False, 'language': 'fre'}, {'taxonname': 'Jabalí', 'primary': False, 'language': 'spa'}]"
Eubalaena australis,"[{'taxonname': 'Southern Right Whale', 'primary': True, 'language': 'eng'}, {'taxonname': 'Baleine Australe', 'primary': False, 'language': 'fre'}, {'taxonname': 'Ballena Franca Austral', 'primary': False, 'language': 'spa'}]"
Balaenoptera borealis,"[{'taxonname': 'Sei Whale', 'primary': True, 'language': 'eng'}, {'taxonname': 'Rorqual Boréal', 'primary': False, 'language': 'fre'}, {'taxonname': 'Rorqual Sei', 'primary': False, 'language': 'fre'}, {'taxonname': 'Ballena Sei', 'primary': False, 'language': 'spa'}, {'taxonname': 'Rorcual Boreal', 'primary': False, 'language': 'spa'}, {'taxonname': 'Rorcual Norteño', 'primary': False, 'language': 'spa'}]"
Balaenoptera edeni,"[{'taxonname': ""Bryde's Whale"", 'primary': True, 'language': 'eng'}]"
Balaenoptera musculus,"[{'taxonname': 'Blue Whale', 'primary': True, 'language': 'eng'}, {'taxonname': 'Baleine bleue', 'primary': False, 'language': 'fre'}, {'taxonname': 'Ballena Azul', 'primary': False, 'language': 'spa'}]"
Balaenoptera physalus,"[{'taxonname': 'Fin Whale', 'primary': True, 'language': 'eng'}, {'taxonname': 'Finback', 'primary': False, 'language': 'eng'}, {'taxonname': 'Rorqual Commun', 'primary': False, 'language': 'fre'}, {'taxonname': 'Ballena Aleta', 'primary': False, 'language': 'spa'}, {'taxonname': 'Rorcual Común', 'primary': False, 'language': 'spa'}]"
Megaptera novaeangliae,"[{'taxonname': 'Humpback Whale', 'primary': True, 'language': 'eng'}, {'taxonname': 'Jubarte', 'primary': False, 'language': 'fre'}, {'taxonname': 'Mégaptère', 'primary': False, 'language': 'fre'}, {'taxonname': 'Baleine à bosse', 'primary': False, 'language': 'fre'}, {'taxonname': 'Gubarte', 'primary': False, 'language': 'spa'}, {'taxonname': 'Ballena Jorobada', 'primary': False, 'language': 'spa'}, {'taxonname': 'Yubarta', 'primary': False, 'language': 'spa'}]"
Delphinus capensis,[]
Delphinus delphis,"[{'taxonname': 'Common Dolphin', 'primary': True, 'language': 'eng'}, {'taxonname': 'Saddleback Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Short-beaked Common Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Pacific Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Short-beaked Saddleback Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Dauphin commun', 'primary': False, 'language': 'fre'}, {'taxonname': 'Delfín Común', 'primary': False, 'language': 'spa'}]"
Feresa attenuata,"[{'taxonname': 'Pygmy Killer Whale', 'primary': True, 'language': 'eng'}, {'taxonname': 'Orque pygmée', 'primary': False, 'language': 'fre'}, {'taxonname': 'Orca Pigmeo', 'primary': False, 'language': 'spa'}]"
Globicephala macrorhynchus,"[{'taxonname': 'Short-finned Pilot Whale', 'primary': True, 'language': 'eng'}, {'taxonname': 'Pacific Pilot Whale', 'primary': False, 'language': 'eng'}, {'taxonname': 'Blackfish', 'primary': False, 'language': 'eng'}, {'taxonname': 'Globicéphale tropical', 'primary': False, 'language': 'fre'}, {'taxonname': 'Caldrón Negro', 'primary': False, 'language': 'spa'}]"
Grampus griseus,"[{'taxonname': ""Risso's Dolphin"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Grey Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Dauphin de Risso', 'primary': False, 'language': 'fre'}, {'taxonname': 'Grampus', 'primary': False, 'language': 'fre'}, {'taxonname': 'Delfín de Risso', 'primary': False, 'language': 'spa'}, {'taxonname': 'calderón gris', 'primary': False, 'language': 'spa'}, {'taxonname': 'Fabo Calderón', 'primary': False, 'language': 'spa'}]"
Lagenodelphis hosei,"[{'taxonname': ""Fraser's Dolphin"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Sarawak Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Dauphin de Fraser', 'primary': False, 'language': 'fre'}, {'taxonname': 'Delfín de Borneo', 'primary': False, 'language': 'spa'}]"
Orcinus orca,"[{'taxonname': 'Killer Whale', 'primary': True, 'language': 'eng'}, {'taxonname': 'Orca', 'primary': False, 'language': 'eng'}, {'taxonname': 'Epaulard', 'primary': False, 'language': 'fre'}, {'taxonname': 'Orque', 'primary': False, 'language': 'fre'}, {'taxonname': 'Espadarte', 'primary': False, 'language': 'spa'}, {'taxonname': 'Orca', 'primary': False, 'language': 'spa'}]"
Peponocephala electra,"[{'taxonname': 'Melon-headed Whale', 'primary': True, 'language': 'eng'}, {'taxonname': 'Electra Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Péponocéphale', 'primary': False, 'language': 'fre'}, {'taxonname': ""Dauphin d'Electre"", 'primary': False, 'language': 'fre'}, {'taxonname': 'Electra', 'primary': False, 'language': 'spa'}, {'taxonname': 'Delfín Cabeza de Melón', 'primary': False, 'language': 'spa'}]"
Pseudorca crassidens,"[{'taxonname': 'False Killer Whale', 'primary': True, 'language': 'eng'}, {'taxonname': 'Faux-orque', 'primary': False, 'language': 'fre'}, {'taxonname': 'Orca Falsa', 'primary': False, 'language': 'spa'}]"
Sousa chinensis,"[{'taxonname': 'Chinese White Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Indo-Pacific Humpback Dolphin', 'primary': True, 'language': 'eng'}, {'taxonname': ""Dauphin a bosse de I'Indo-Pacifique"", 'primary': False, 'language': 'fre'}, {'taxonname': 'Delfin jorobado del Indo-Pacifico', 'primary': False, 'language': 'spa'}]"
Stenella attenuata,"[{'taxonname': 'Pantropical Spotted Dolphin', 'primary': True, 'language': 'eng'}, {'taxonname': 'Dauphin tacheté Pantropical', 'primary': False, 'language': 'fre'}, {'taxonname': 'Delfín Manchado', 'primary': False, 'language': 'spa'}, {'taxonname': 'Delfín Pintado', 'primary': False, 'language': 'spa'}]"
Stenella coeruleoalba,"[{'taxonname': 'Striped Dolphin', 'primary': True, 'language': 'eng'}, {'taxonname': 'Euphrosyne Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Dauphin bleu et blanc', 'primary': False, 'language': 'fre'}, {'taxonname': 'Dauphin rayé', 'primary': False, 'language': 'fre'}, {'taxonname': 'Delfín Listado', 'primary': False, 'language': 'spa'}, {'taxonname': 'Delfín Blanco y Azul', 'primary': False, 'language': 'spa'}]"
Stenella longirostris,"[{'taxonname': 'Spinner Dolphin', 'primary': True, 'language': 'eng'}, {'taxonname': 'Long-snouted Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Long-beaked Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Dauphin longirostre', 'primary': False, 'language': 'fre'}, {'taxonname': 'Delfín Tornillón', 'primary': False, 'language': 'spa'}, {'taxonname': 'Estenela Giradora', 'primary': False, 'language': 'spa'}]"
Steno bredanensis,"[{'taxonname': 'Rough-toothed Dolphin', 'primary': True, 'language': 'eng'}, {'taxonname': 'Sténo', 'primary': False, 'language': 'fre'}, {'taxonname': 'Dauphin à Bec Etroit', 'primary': False, 'language': 'fre'}, {'taxonname': 'Delfín de Pico Largo', 'primary': False, 'language': 'spa'}]"
Tursiops truncatus,"[{'taxonname': 'Common Bottlenose Dolphin', 'primary': True, 'language': 'eng'}, {'taxonname': 'Bottle-nosed Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Bottlenose Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Bottlenosed Dolphin', 'primary': False, 'language': 'eng'}, {'taxonname': 'Souffleur', 'primary': False, 'language': 'fre'}, {'taxonname': 'Tursiops', 'primary': False, 'language': 'fre'}, {'taxonname': 'Dauphin Souffleur', 'primary': False, 'language': 'fre'}, {'taxonname': 'Grand Dauphin', 'primary': False, 'language': 'fre'}, {'taxonname': 'Delfín Mular', 'primary': False, 'language': 'spa'}, {'taxonname': 'Pez Mular', 'primary': False, 'language': 'spa'}, {'taxonname': 'Tursión', 'primary': False, 'language': 'spa'}]"
Kogia breviceps,"[{'taxonname': 'Pygmy Sperm Whale', 'primary': True, 'language': 'eng'}, {'taxonname': 'Cachalot pygmée', 'primary': False, 'language': 'fre'}, {'taxonname': 'Cachalote Cabeza Chica', 'primary': False, 'language': 'spa'}, {'taxonname': 'Cachalote Pigmeo', 'primary': False, 'language': 'spa'}]"
Physeter catodon,[]
Mesoplodon densirostris,"[{'taxonname': ""Blainville's Beaked Whale"", 'primary': True, 'language': 'eng'}, {'taxonname': ""Blainville's Beaked Whale"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Mésoplodon de Blainville', 'primary': False, 'language': 'fre'}, {'taxonname': 'Mésoplodon de Blainville', 'primary': False, 'language': 'fre'}, {'taxonname': 'Zifio de Blainville', 'primary': False, 'language': 'spa'}, {'taxonname': 'Ballena de Pico de Blainville', 'primary': False, 'language': 'spa'}, {'taxonname': 'Ballena de Pico de Blainville', 'primary': False, 'language': 'spa'}, {'taxonname': 'Zifio de Blainville', 'primary': False, 'language': 'spa'}]"
Ziphius cavirostris,"[{'taxonname': 'Goosebeak Whale', 'primary': False, 'language': 'eng'}, {'taxonname': ""Cuvier's Beaked Whale"", 'primary': True, 'language': 'eng'}, {'taxonname': ""Cuvier's Beaked Whale"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Goose-beaked Whale', 'primary': False, 'language': 'eng'}, {'taxonname': 'Baleine de Cuvier', 'primary': False, 'language': 'fre'}, {'taxonname': 'Ziphius', 'primary': False, 'language': 'fre'}, {'taxonname': 'Ziphio de Cuvier', 'primary': False, 'language': 'spa'}, {'taxonname': 'Ballena de Cuvier', 'primary': False, 'language': 'spa'}]"
Anomalurus derbianus,"[{'taxonname': ""Derby's Flying Squirrel"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Lord Derby's Flying Squirrel"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Lord Derby's Scaly-tailed Squirrel"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Anamolure de Derby', 'primary': False, 'language': 'fre'}, {'taxonname': 'Ecureuil volant de Derby', 'primary': False, 'language': 'fre'}, {'taxonname': 'Écureuil volant de Derby', 'primary': False, 'language': 'fre'}]"
Idiurus macrotis,"[{'taxonname': 'Long-eared Scaly-tailed Flying Squirrel', 'primary': True, 'language': 'eng'}, {'taxonname': 'Long-eared Flying Squirrel', 'primary': False, 'language': 'eng'}, {'taxonname': 'Anamolure Nain', 'primary': False, 'language': 'fre'}, {'taxonname': 'Ardilla Voladera De Orejas Largas', 'primary': False, 'language': 'spa'}]"
Cryptomys hottentotus,"[{'taxonname': 'African Mole Rat', 'primary': True, 'language': 'eng'}]"
Cryptomys mechowi,[]
Heliophobius argenteocinereus,"[{'taxonname': 'Silvery Mole Rat', 'primary': True, 'language': 'eng'}]"
Lophiomys imhausi,"[{'taxonname': 'Crested Rat', 'primary': True, 'language': 'eng'}]"
Graphiurus kelleni,"[{'taxonname': ""Kellen's Dormouse"", 'primary': True, 'language': 'eng'}, {'taxonname': ""Kellen's African Dormouse"", 'primary': False, 'language': 'eng'}]"
Graphiurus microtis,"[{'taxonname': 'Small-eared Dormouse', 'primary': False, 'language': 'eng'}]"
Graphiurus murinus,"[{'taxonname': 'Woodland Dormouse', 'primary': False, 'language': 'eng'}]"
Hystrix africaeaustralis,"[{'taxonname': 'Cape Porcupine', 'primary': False, 'language': 'eng'}]"
Hystrix cristata,"[{'taxonname': 'Crested Porcupine', 'primary': True, 'language': 'eng'}, {'taxonname': 'North African Crested Porcupine', 'primary': False, 'language': 'eng'}, {'taxonname': ""Porc-épic du Nord de l'Afrique"", 'primary': False, 'language': 'fre'}, {'taxonname': 'Porc-épic à Crete', 'primary': False, 'language': 'fre'}, {'taxonname': 'Puercoespín', 'primary': False, 'language': 'spa'}]"
Acomys ignitus,"[{'taxonname': 'Fiery Spiny Mouse', 'primary': True, 'language': 'eng'}]"
Acomys kempi,"[{'taxonname': ""Kemp's Spiny Mouse"", 'primary': True, 'language': 'eng'}]"
Acomys spinosissimus,"[{'taxonname': 'Spiny Mouse', 'primary': True, 'language': 'eng'}, {'taxonname': 'Southern African Spiny Mouse', 'primary': False, 'language': 'eng'}]"
Acomys wilsoni,"[{'taxonname': ""Wilson's Spiny Mouse"", 'primary': True, 'language': 'eng'}]"
Aethomys chrysophilus,"[{'taxonname': 'Red Rock Rat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Red Veld Aethomys', 'primary': False, 'language': 'eng'}]"
Aethomys hindei,"[{'taxonname': ""Hinde's Rock Rat"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Hinde’s Aethomys', 'primary': False, 'language': 'eng'}]"
Aethomys kaiseri,"[{'taxonname': ""Kaiser's Rock Rat"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Kaiser’s Aethomys', 'primary': False, 'language': 'eng'}]"
Arvicanthis nairobae,"[{'taxonname': 'Nairobi Grass Rat', 'primary': True, 'language': 'eng'}, {'taxonname': 'East African Arvicanthis', 'primary': False, 'language': 'eng'}]"
Arvicanthis neumanni,"[{'taxonname': 'Neumann’s Arvicanthis', 'primary': True, 'language': 'eng'}, {'taxonname': 'Somali Grass Rat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Neumann’s Grass Rat', 'primary': False, 'language': 'eng'}]"
Arvicanthis niloticus,"[{'taxonname': 'African Grass Rat', 'primary': True, 'language': 'eng'}, {'taxonname': 'African Arvicanthis', 'primary': False, 'language': 'eng'}]"
Dasymys alleni,[]
Dasymys incomtus,"[{'taxonname': 'Common Dasymys', 'primary': False, 'language': 'eng'}, {'taxonname': 'African Marsh Rat', 'primary': False, 'language': 'eng'}]"
Dasymys sua,[]
Dipodillus harwoodi,[]
Gerbilliscus boehmi,"[{'taxonname': ""Boehm's Gerbil"", 'primary': False, 'language': 'eng'}]"
Gerbilliscus inclusa,[]
Gerbilliscus leucogaster,"[{'taxonname': 'Bushveld Gerbil', 'primary': False, 'language': 'eng'}]"
Gerbilliscus nigricaudus,"[{'taxonname': 'Black-tailed Gerbil', 'primary': False, 'language': 'eng'}]"
Gerbilliscus robustus,"[{'taxonname': 'Fringe-tailed Gerbil', 'primary': True, 'language': 'eng'}]"
Gerbilliscus validus,"[{'taxonname': 'Savanna Gerbil', 'primary': False, 'language': 'eng'}]"
Gerbillus pusillus,"[{'taxonname': 'Least Gerbil', 'primary': True, 'language': 'eng'}]"
Grammomys dolichurus,"[{'taxonname': 'Woodland Thicket Rat', 'primary': True, 'language': 'eng'}]"
Grammomys ibeanus,"[{'taxonname': 'Ruwenzori Thicket Rat', 'primary': False, 'language': 'eng'}]"
Grammomys macmillani,"[{'taxonname': ""Macmillan's Thicket Rat"", 'primary': False, 'language': 'eng'}]"
Hylomyscus anselli,[]
Hylomyscus arcimontensis,[]
Hylomyscus denniae,[]
Hylomyscus stella,[]
Lemniscomys rosalia,"[{'taxonname': 'Single-striped Grass Mouse', 'primary': False, 'language': 'eng'}, {'taxonname': 'Single-striped Lemniscomys', 'primary': False, 'language': 'eng'}]"
Lemniscomys striatus,"[{'taxonname': 'Typical Lemniscomys', 'primary': False, 'language': 'eng'}, {'taxonname': 'Typical Striped Grass Mouse', 'primary': False, 'language': 'eng'}]"
Lemniscomys zebra,"[{'taxonname': ""Heuglin's Striped Grass Mouse"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Heuglin's Lemniscomys"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Heuglin’s Lemniscomys', 'primary': False, 'language': 'eng'}]"
Lophuromys ansorgei,[]
Lophuromys aquilus,[]
Lophuromys sikapusi,"[{'taxonname': 'Rusty-bellied Brush-furred Rat', 'primary': True, 'language': 'eng'}]"
Lophuromys verhageni,[]
Mastomys natalensis,"[{'taxonname': 'Natal Multimammate Mouse', 'primary': False, 'language': 'eng'}, {'taxonname': 'Natal Mastomys', 'primary': False, 'language': 'eng'}]"
Mastomys pernanus,"[{'taxonname': 'Dwarf Multimammate Mouse', 'primary': False, 'language': 'eng'}, {'taxonname': 'Dwarf Mastomys', 'primary': True, 'language': 'eng'}]"
Mus minutoides,"[{'taxonname': 'Pygmy Mouse', 'primary': False, 'language': 'eng'}]"
Mus musculoides,[]
Mus musculus,"[{'taxonname': 'House Mouse', 'primary': True, 'language': 'eng'}, {'taxonname': 'Souris domestique', 'primary': False, 'language': 'fre'}, {'taxonname': 'Ratón Casero', 'primary': False, 'language': 'spa'}]"
Mus neavi,[]
Mus sorella,"[{'taxonname': ""Thomas's Mouse"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Thomas's Pygmy Mouse"", 'primary': False, 'language': 'eng'}]"
Mus tenellus,"[{'taxonname': 'Delicate Mouse', 'primary': False, 'language': 'eng'}]"
Mus triton,"[{'taxonname': 'Gray-bellied Pygmy Mouse', 'primary': False, 'language': 'eng'}, {'taxonname': 'Gray-bellied Mouse', 'primary': False, 'language': 'eng'}]"
Mylomys dybowskyii,[]
Myomyscus brockmani,"[{'taxonname': ""Brockman's Myomyscus"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Brockman’s Myomyscus', 'primary': False, 'language': 'eng'}]"
Oenomys hypoxanthus,"[{'taxonname': 'Rufous-nosed Rat', 'primary': False, 'language': 'eng'}]"
Otomys angoniensis,"[{'taxonname': 'Angoni Vlei Rat', 'primary': False, 'language': 'eng'}]"
Otomys denti,"[{'taxonname': ""Dent's Vlei Rat"", 'primary': False, 'language': 'eng'}]"
Otomys lacustris,"[{'taxonname': 'Tanzanian Vlei Rat', 'primary': True, 'language': 'eng'}]"
Otomys orestes,[]
Otomys tropicalis,"[{'taxonname': 'Tropical Vlei Rat', 'primary': True, 'language': 'eng'}]"
Otomys uzungwensis,"[{'taxonname': 'Uzungwe Vlei Rat', 'primary': True, 'language': 'eng'}]"
Pelomys fallax,"[{'taxonname': 'Creek Groove-toothed Swamp Rat', 'primary': False, 'language': 'eng'}]"
Pelomys minor,"[{'taxonname': 'Least Groove-toothed Swamp Rat', 'primary': False, 'language': 'eng'}]"
Praomys jacksoni,"[{'taxonname': ""Jackson's Praomys"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Jackson's Soft-furred Mouse"", 'primary': False, 'language': 'eng'}]"
Rattus norvegicus,"[{'taxonname': 'Brown Rat', 'primary': True, 'language': 'eng'}]"
Rattus rattus,"[{'taxonname': 'House Rat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Roof Rat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Black Rat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Ship Rat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Rat noir', 'primary': False, 'language': 'fre'}, {'taxonname': 'Rata Negra', 'primary': False, 'language': 'spa'}]"
Rhabdomys dilectus,"[{'taxonname': 'Mesic Four-striped Grass Rat', 'primary': True, 'language': 'eng'}]"
Taterillus harringtoni,[]
Thallomys loringi,"[{'taxonname': ""Loring's Rat"", 'primary': False, 'language': 'eng'}]"
Thallomys paedulcus,"[{'taxonname': 'Acacia Rat', 'primary': False, 'language': 'eng'}]"
Uranomys ruddi,"[{'taxonname': ""Rudd's Mouse"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Rudd’s Bristle-furred Rat', 'primary': False, 'language': 'eng'}]"
Zelotomys hildegardeae,"[{'taxonname': ""Hildegarde's Zelotomys"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Hildegarde's Broad-headed Mouse"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Hildegarde’s Zelotomys', 'primary': False, 'language': 'eng'}]"
Beamys hindei,"[{'taxonname': 'Long-tailed Pouched Rat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Lesser Hamster-rat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Hinde’s Pouched Rat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lesser Pouched Rat', 'primary': False, 'language': 'eng'}]"
Cricetomys ansorgei,"[{'taxonname': 'East African Savannah Pouched Rat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Southern Giant Pouched Rat', 'primary': False, 'language': 'eng'}, {'taxonname': 'African Giant Rat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Gambian Rat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Giant Pouched Rat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Giant Rat', 'primary': False, 'language': 'eng'}]"
Dendromus insignis,"[{'taxonname': 'Remarkable Climbing Mouse', 'primary': False, 'language': 'eng'}, {'taxonname': 'Montane African Climbing Mouse', 'primary': False, 'language': 'eng'}]"
Dendromus melanotis,"[{'taxonname': 'Gray African Climbing Mouse', 'primary': False, 'language': 'eng'}, {'taxonname': 'Gray Glimbing Mouse', 'primary': False, 'language': 'eng'}]"
Dendromus mesomelas,"[{'taxonname': ""Brant's Climbing Mouse"", 'primary': False, 'language': 'eng'}]"
Dendromus mystacalis,"[{'taxonname': 'Chestnut Climbing Mouse', 'primary': False, 'language': 'eng'}]"
Dendromus nyasae,[]
Dendromus nyikae,"[{'taxonname': 'Nyika Climbing Mouse', 'primary': False, 'language': 'eng'}]"
Saccostomus campestris,"[{'taxonname': 'Pouched Mouse', 'primary': False, 'language': 'eng'}, {'taxonname': 'Southern African Pouched Mouse', 'primary': False, 'language': 'eng'}]"
Saccostomus mearnsi,"[{'taxonname': ""Mearns's Pouched Mouse"", 'primary': False, 'language': 'eng'}, {'taxonname': 'East African Pouched Mouse', 'primary': False, 'language': 'eng'}]"
Steatomys parvus,"[{'taxonname': 'Tiny Fat Mouse', 'primary': False, 'language': 'eng'}]"
Steatomys pratensis,"[{'taxonname': 'Fat Mouse', 'primary': False, 'language': 'eng'}]"
Petedes surdaster,[]
Heliosciurus gambianus,"[{'taxonname': 'Gambian Sun Squirrel', 'primary': True, 'language': 'eng'}, {'taxonname': 'Héliosciure Typique De Gambie', 'primary': False, 'language': 'fre'}]"
Heliosciurus mutabilis,"[{'taxonname': 'Mutable Sun Squirrel', 'primary': False, 'language': 'eng'}]"
Heliosciurus rufobrachium,"[{'taxonname': 'Crab-eating Mongoose', 'primary': False, 'language': 'eng'}, {'taxonname': 'Isabelline Red-legged Sun Squirrel', 'primary': False, 'language': 'eng'}, {'taxonname': 'Red-legged Sun Squirrel', 'primary': True, 'language': 'eng'}, {'taxonname': 'Héliosciure à pattes rousses', 'primary': False, 'language': 'fre'}]"
Heliosciurus undulatus,"[{'taxonname': 'Zanj Sun Squirrel', 'primary': True, 'language': 'eng'}]"
Paraxerus boehmi,"[{'taxonname': ""Boehm's Bush Squirrel"", 'primary': False, 'language': 'eng'}]"
Paraxerus cepapi,"[{'taxonname': ""Smith's Bush Squirrel"", 'primary': False, 'language': 'eng'}]"
Paraxerus flavovittis,"[{'taxonname': 'Striped Bush Squirrel', 'primary': False, 'language': 'eng'}]"
Paraxerus lucifer,"[{'taxonname': 'Black And Red Bush Squirrel', 'primary': False, 'language': 'eng'}]"
Paraxerus ochraceus,"[{'taxonname': 'Ochre Bush Squirrel', 'primary': False, 'language': 'eng'}]"
Paraxerus palliatus,"[{'taxonname': 'Red Bush Squirrel', 'primary': False, 'language': 'eng'}]"
Paraxerus vexillarius,"[{'taxonname': ""Svynnerton's Bush Squirrel"", 'primary': False, 'language': 'eng'}]"
Protoxerus stangeri,"[{'taxonname': 'African Giant Squirrel', 'primary': False, 'language': 'eng'}, {'taxonname': 'Forest Giant Squirrel', 'primary': False, 'language': 'eng'}, {'taxonname': 'Grand Ecureuil De Stanger', 'primary': False, 'language': 'fre'}]"
Xerus erythropus,"[{'taxonname': 'Striped Ground Squirrel', 'primary': True, 'language': 'eng'}, {'taxonname': ""Geoffroy's Ground Squirrel"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Ecureuil Géant De Stanger', 'primary': False, 'language': 'fre'}]"
Xerus rutilus,"[{'taxonname': 'Unstriped Ground Squirrel', 'primary': False, 'language': 'eng'}]"
Tachyoryctes ankoliae,[]
Tachyoryctes daemon,[]
Tachyoryctes naivashae,[]
Tachyoryctes ruddi,[]
Thryonomys gregorianus,"[{'taxonname': 'Lesser Cane Rat', 'primary': False, 'language': 'eng'}]"
Thryonomys swinderianus,"[{'taxonname': 'Greater Cane Rat', 'primary': False, 'language': 'eng'}]"
