order,url,page_type,section,opt_a_link,opt_a_text,opt_a_img,opt_b_link,opt_b_text,opt_b_img,other_images,other_text,match_taxon,match_common,image_credits
884,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=72,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_elgonius_72_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_elgonius_72.jpg,,Crocidura,,
885,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=76,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_fuscomurina_76_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_fuscomurina_76.jpg,,Crocidura,,
883,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=21,Option-page,Section: Soricidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=72,"A.  The maximum breadth of the maxilla is less than 5.20 mm.B.  The width of the second upper molar is less than 1.7 mm.C.  The least interorbital breadth of the skull is less than 3.7 mm.D.  The first upper unicuspid and incisors are not so large when compared to posterior unicuspids.E.  The anterior face of the tooth posterior to the most posterior unicuspid is flat, not concave.F.  The skin is bicolored, with the dorsum dirty brown.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_21a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=76,"A.  The maximum breadth of the maxilla is greater than 5.20 mm.B.  The width of the second upper molar is greater than 1.8 mm.C.  The least interorbital breadth of the skull is greater than 3.8 mm.D.  The first unicuspid and incisors are quite large compared to posterior unicuspids.E.  The anterior face of the tooth posterior to the most posterior unicuspid is concave, not flat.F.  The skin is bicolored, with the dorsum bright chocolate brown.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_21b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
881,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=20,Option-page,Section: Soricidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=90,"A.  The skull is strikingly flat, with the dorsal profile of transition from rostrum to braincase at a very shallow angle.B.  The chest and belly are silvery grey to white.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_20a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=21,"A.  The skull is not strikingly flat, with dorsal profile of transition from rostrum to braincase angled, in lateral view.B.  The chest and belly are brown.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_20b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
888,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=67,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_allex_67_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_C_allex_67_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_allex_67.jpg,,Crocidura,,
890,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=80,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_jacksoni_80_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_jacksoni_80.jpg,,Crocidura,,
891,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=78,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_hildegardea_78_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_C_hildegardea_78_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_hildegardeae_78.jpg,,Crocidura,,
889,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=24,Option-page,Section: Soricidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=80,A.  The length of the tail is less than 50 mm.B.  The length of the upper toothrow is greater than 8.6 mm.C.  The bimaxillary width of the cranium is greater than 6.1 mm.D.  The pelage is dark brown to black.,http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_24a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=78,"A.  The length of the tail is between 40 and 65 mm.B.  The length of the upper toothrow is less than, or equal to 8.8 mm.C.  The bimaxillary width of the cranium is less than 6.2.D.  The pelage is chocolate brown.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_24b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
887,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=23,Option-page,Section: Soricidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=67,"A.  The condyloincisive length is less than 18 mm.B.  The length of the upper toothrow is equal to, or less than 8.1 mm.C.  The fur is thick and wooly.D.  In Tanzania this species has been found only in the montane grasslands and moorlands of the mountains of Kilimanjaro and Meru.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_23a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=24,"A.  The condyloincisive length is greater than 18 mm.B.  The length of the upper toothrow is generally more than 7.5 mm.C.  If the condyloincisive length is less than 18 mm, and/or the length of the upper toothrow is equal to, or less than 7.5 mm, then the fur is not thick and wooly.D.  This species may be found in a variety of habitats, but not in the montane grasslands and moorlands of the mountains of Kilimanjaro and Meru.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_23b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
894,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=92,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_nigrofusca_92_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_C_nigrofusca_92_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_nigrofusca_92.jpg,,Crocidura,,
